name,website,email,county,emailed
Yorkshireparishes,https://yorkshireparishes.gov.uk/directory/,clerk@yorkshireparishes.gov.uk,Yorkshire,no
Kilburnyorks Com,https://www.kilburnyorks.com/parish-council,clerk@kilburnyorkshire-pc.gov.uk,Yorkshire,no
Appletonroebuckandacasterselby Pc,https://www.appletonroebuckandacasterselby-pc.gov.uk/contact/,clerk@appletonroebuckandacasterselby-pc.gov.uk,Yorkshire,no
Mg Wakefield,https://mg.wakefield.gov.uk/mgParishCouncilDetailsList.aspx,clerk@mg.wakefield.gov.uk,Yorkshire,no
Lytheparishcouncil,https://www.lytheparishcouncil.gov.uk/,clerk@lytheparishcouncil.org,Yorkshire,no
Edemocracy Northyorks,https://edemocracy.northyorks.gov.uk/mgParishCouncilDetails.aspx?bcr=1,clerk@edemocracy.northyorks.gov.uk,Yorkshire,no
Ampleforth Pc,https://www.ampleforth-pc.gov.uk/Contact_Us_43100.aspx,clerk@ampleforth-pc.gov.uk,Yorkshire,no
Finningley Pc,https://www.finningley-pc.gov.uk/contact/,clerk@finningley-pc.gov.uk,Yorkshire,no
Nortonsubhamdon Pc,https://nortonsubhamdon-pc.gov.uk/village-newsletter/,clerk@nortonsubhamdon-pc.gov.uk,Yorkshire,no
Allerstonandwiltonparishcouncil Com,https://www.allerstonandwiltonparishcouncil.com/,clerk@allerstonandwiltonpc.co.uk,Yorkshire,no
Yorkshire Village Com,https://www.yorkshire-village.com/newsletters,info@yorkshire-village.com,Yorkshire,no
Alnevillage Co Uk,https://www.alnevillage.co.uk/,sales@farmgatefarmshop.co.uk,Yorkshire,no
Dacreparishcouncil,https://www.dacreparishcouncil.org.uk/latest-newsletter,clerk@dacreparishcouncil.org.uk,Yorkshire,no
Ellerkerparish Uk,https://www.ellerkerparish.uk/village-newsletter-ellerker-news/,clerk@ellerkerparish.uk,Yorkshire,no
Hambleton Pc,https://www.hambleton-pc.gov.uk/news-updates/,clerk@hambleton-pc.gov.uk,Yorkshire,no
Northcave Pc,https://www.northcave-pc.gov.uk/our-community/village-link/,clerk@northcave-pc.gov.uk,Yorkshire,no
Moderngov Dover,https://moderngov.dover.gov.uk/mgParishCouncilDetailsList.aspx,clerk@moderngov.dover.gov.uk,Kent,no
Kent,https://www.kent.gov.uk/about-the-council/how-the-council-works/parish-councils,clerk@kent.gov.uk,Kent,no
Kentchurchparishcouncil,https://kentchurchparishcouncil.gov.uk/contact-us,clerk@kentchurchparishcouncil.gov.uk,Kent,no
Democracy Medway,https://democracy.medway.gov.uk/mgParishCouncilDetailsList.aspx,clerk@democracy.medway.gov.uk,Kent,no
Ashparishcouncil,https://ashparishcouncil.gov.uk/contact-us/,clerk@ashparishcouncil.gov.uk,Kent,no
Farninghamparishcouncil,https://www.farninghamparishcouncil.gov.uk/page-contact_us42.html,clerk@farninghamparishcouncil.org,Kent,no
Hersden Pc,https://hersden-pc.gov.uk/contact/,clerk@hersden-pc.gov.uk,Kent,no
Cds Sevenoaks,https://cds.sevenoaks.gov.uk/mgParishCouncilDetailsList.aspx?J=1,clerk@cds.sevenoaks.gov.uk,Kent,no
Kenardington Pc,https://www.kenardington-pc.gov.uk/community/kenardington-20002/parish-council/,clerk@kenardington-pc.gov.uk,Kent,no
Aylesford Pc,https://www.aylesford-pc.gov.uk/contact.aspx,admin@aylesford-pc.gov.uk,Kent,no
Newington Pc,https://www.newington-pc.gov.uk/community/newington-parish-council-15445/village-voice/,clerk@newington-pc.gov.uk,Kent,no
Mardenkent Pc,https://www.mardenkent-pc.gov.uk/community/marden-parish-council-13394/mpc-newsletters/,clerk@mardenkent-pc.gov.uk,Kent,no
Hothfield,http://www.hothfield.org.uk/community/hothfield-parish-council-17945/newsletter,clerk@hothfield.org.uk,Kent,no
Shadoxhurst Pc,https://shadoxhurst-pc.gov.uk/category/nhw_newsletter/,clerk@shadoxhurst-pc.gov.uk,Kent,no
Dunkirkpc,https://www.dunkirkpc.gov.uk/community,clerk@dunkirkpc.gov.uk,Kent,no
Elhampc Co Uk,https://www.elhampc.co.uk/,cgreenwood@elhampc.co.uk,Kent,no
Eastfarleigh Pc,https://eastfarleigh-pc.gov.uk/2026/03/,clerk@eastfarleigh-pc.gov.uk,Kent,no
Otfordparishcouncil,https://www.otfordparishcouncil.gov.uk/,clerk@otfordparishcouncil.gov.uk,Kent,no
Vigo Pc,https://www.vigo-pc.gov.uk/_UserFiles/Files/News/Newsletter%20Winter%202024-2025.pdf,clerk@vigo-pc.gov.uk,Kent,no
Democracy Eastsussex,https://democracy.eastsussex.gov.uk/mgParishCouncilDetailsList.aspx,clerk@democracy.eastsussex.gov.uk,Sussex,no
Midsussex Moderngov Co Uk,https://midsussex.moderngov.co.uk/mgParishCouncilDetailsList.aspx,clerk@midsussex.moderngov.co.uk,Sussex,no
Westsussex,https://www.westsussex.gov.uk/find-my-nearest/parish-or-town-council/,clerk@westsussex.gov.uk,Sussex,no
Democracy Lewes Eastbourne,https://democracy.lewes-eastbourne.gov.uk/mgParishCouncilDetails.aspx?bcr=1,clerk@democracy.lewes-eastbourne.gov.uk,Sussex,no
Buryparishcouncil,https://buryparishcouncil.org.uk/,clerk@buryparishcouncil.org.uk,Sussex,no
Thakehamparish,https://www.thakehamparish.gov.uk/contact/,clerk@thakehamparish.gov.uk,Sussex,no
Sussexlocal Net,https://sussexlocal.net/community/councils-government/,info@sussexlocal.net,Sussex,no
Hassocks Pc,https://www.hassocks-pc.gov.uk/contact/,info@hassocks-pc.gov.uk,Sussex,no
Democracy Arun,https://democracy.arun.gov.uk/mgParishCouncilDetailsList.aspx,clerk@democracy.arun.gov.uk,Sussex,no
Barnhamandeastergate Pc,https://barnhamandeastergate-pc.gov.uk/media/17536/bepc-planning-and-environment-committee-agenda-3rd-march-2026.pdf,clerk@barnhamandeastergate-pc.gov.uk,Sussex,no
Berwickparishcouncil,https://berwickparishcouncil.gov.uk/,clerk@berwickparishcouncil.gov.uk,Sussex,no
Lancingparishcouncil,https://lancingparishcouncil.gov.uk/2026/03/19/lancing-village-newsletter-spring-2026/,admin@lancingparishcouncil.gov.uk,Sussex,no
Comptonwestsussex Pc,https://comptonwestsussex-pc.gov.uk/,clerk@comptonwestsussex-pc.gov.uk,Sussex,no
Mayfieldfiveashes Pc,https://mayfieldfiveashes-pc.gov.uk/ypnews/,clerk@mayfieldfiveashes-pc.gov.uk,Sussex,no
Westbourne Pc,http://www.westbourne-pc.gov.uk/Newsletters_24533.aspx,clerk@westbourne-pc.gov.uk,Sussex,no
Bepton Org,https://bepton.org/bepton-parish-council/newsletters/,clerk@bepton.org,Sussex,no
Storrington Pc,https://www.storrington-pc.gov.uk/Parish_Newsletters_19359.aspx,office@storrington-pc.gov.uk,Sussex,no
Kingston Pc,https://kingston-pc.gov.uk/,clerk@kingston-pc.gov.uk,Sussex,no
Arlingtonvillage Co Uk,https://arlingtonvillage.co.uk/parish-council/,clerk@arlington-pc.gov.uk,Sussex,no
Ringmerparishcouncil,https://ringmerparishcouncil.gov.uk/wp-content/uploads/2025/03/4.-April-2025.pdf,clerk@ringmerparishcouncil.gov.uk,Sussex,no
Easthants Moderngov Co Uk,https://easthants.moderngov.co.uk/mgParishCouncilDetailsList.aspx,clerk@easthants.moderngov.co.uk,Hampshire,no
Farringdon Pc,https://www.farringdon-pc.gov.uk/community/farringdon-parish-council-hampshire-20026/contact-us/,clerk@farringdon-pc.gov.uk,Hampshire,no
Wellow Pc,https://wellow-pc.gov.uk/contact-us/,clerk@wellow-pc.gov.uk,Hampshire,no
Upperclatford Pc,https://www.upperclatford-pc.gov.uk/community/upper-clatford-15048/parish-council/,clerk@upperclatford-pc.gov.uk,Hampshire,no
Beechpc Com,https://www.beechpc.com/contact-us/,clerk@beechpc.com,Hampshire,no
Democracy Winchester,https://democracy.winchester.gov.uk/mgParishCouncilDetailsList.aspx,info@winchester.gov.uk,Hampshire,no
Hannington Hants Pc,https://hannington-hants-pc.gov.uk/community/hannington-parish-council-hampshire-7641/contact,clerk@hannington-hants-pc.gov.uk,Hampshire,no
Ellinghamharbridgeibsley Pc,https://www.ellinghamharbridgeibsley-pc.gov.uk/contact/,clerk@ehipcmail.co.uk,Hampshire,no
Fawley Pc,https://www.fawley-pc.gov.uk/the-council/staff-structure/,clerk@fawley-pc.gov.uk,Hampshire,no
Hambleparishcouncil,https://hambleparishcouncil.gov.uk/newsletters/,office@hambleparishcouncil.gov.uk,Hampshire,no
Crookhamvillage Pc,https://crookhamvillage-pc.gov.uk/council/newsletters,clerk@crookhamvillage-pc.gov.uk,Hampshire,no
Charlton Pc,https://www.charlton-pc.gov.uk/community/charlton-parish-council-12680/parish-newsletters/,clerk@charlton-pc.gov.uk,Hampshire,no
Hambledon Pc,https://www.hambledon-pc.gov.uk/,clerk@hambledon-pc.gov.uk,Hampshire,no
Kimptonhampshire,https://kimptonhampshire.org.uk/kimpton-parish-newsletter/,clerk@kimptonhampshire.org.uk,Hampshire,no
Newtown Pc,https://newtown-pc.org.uk/,clerk@newtown-pc.org.uk,Hampshire,no
Martinparishcouncil,https://martinparishcouncil.gov.uk/,clerk@martinparishcouncil.gov.uk,Hampshire,no
Moderngov Dorsetcouncil,https://moderngov.dorsetcouncil.gov.uk/mgParishCouncilDetails.aspx,clerk@moderngov.dorsetcouncil.gov.uk,Dorset,no
Lingfieldparishchurch Org,https://lingfieldparishchurch.org/_data/site/130/pg/908/VillageVoice202604-compressed.pdf,18@9.o,Dorset,no
Lytchettmatraversparishcouncil,https://lytchettmatraversparishcouncil.gov.uk/contact-us/,clerk@lytchettmatraversparishcouncil.gov.uk,Dorset,no
Assington Pc,https://assington-pc.gov.uk/contact-us/,clerk@assington-pc.gov.uk,Dorset,no
Dorsetparishes,https://www.dorsetparishes.gov.uk/council/tarrant-monkton-and-launceston-parish-council/contact-your-council/,clerk@dorsetparishes.gov.uk,Dorset,no
Osmingtonparishcouncil,https://www.osmingtonparishcouncil.gov.uk/community/osmington-parish-council-18514/councillors-and-clerk/,clerk@osmingtonparishcouncil.gov.uk,Dorset,no
Knowltonparishcouncil,http://www.knowltonparishcouncil.gov.uk/Contact_Us_31218.aspx,clerk@knowltonparishcouncil.gov.uk,Dorset,no
Charmouthparishcouncil,https://www.charmouthparishcouncil.gov.uk/file/agenda-full-council-march-2026.pdf?download=true,clerk@charmouthparishcouncil.gov.uk,Dorset,no
Winterbornestmartin Pc,https://www.winterbornestmartin-pc.gov.uk/community/winterborne-st-martin-parish-council-18643/useful-contacts/,clerk@winterbornestmartin-pc.gov.uk,Dorset,no
Stleonardsparishcouncil,https://stleonardsparishcouncil.gov.uk/wp-content/uploads/2026/03/25-Mar-26-Agenda-Pack-online.pdf,clerk@stleonardsparishcouncil.gov.uk,Dorset,no
Maidennewtonandfromevauchurch Pc,https://maidennewtonandfromevauchurch-pc.gov.uk/news/april-newsletter,clerk@maidennewtonandfromevauchurch-pc.gov.uk,Dorset,no
Cheselbourneparishcouncil,https://www.cheselbourneparishcouncil.gov.uk/community/cheselbourne-parish-council-7854/weekly-newsletter/,clerk@cheselbourneparishcouncil.gov.uk,Dorset,no
Holt Dorset Pc,https://www.holt-dorset-pc.gov.uk/_VirDir/CoreContents/News/Display.aspx?id=77745,clerk@holt-dorset-pc.gov.uk,Dorset,no
Netherburyparishcouncil,https://www.netherburyparishcouncil.gov.uk/,clerk@netherburyparishcouncil.gov.uk,Dorset,no
Southperrottparishcouncil,https://southperrottparishcouncil.gov.uk/,clerk@southperrottparishcouncil.gov.uk,Dorset,no
Sturminstermarshall Pc,https://www.sturminstermarshall-pc.gov.uk/_UserFiles/Files/Newsletters/2025/October%202025.pdf,.d@w.u5v,Dorset,no
Moderngov Cheshireeast,https://moderngov.cheshireeast.gov.uk/mgParishCouncilDetailsList.aspx,clerk@moderngov.cheshireeast.gov.uk,Cheshire,no
Cheshirewestandchester,https://www.cheshirewestandchester.gov.uk/your-council/councillors-and-committees/town-and-parish-councils/contact-details-for-town-and-parish-councils,clerk@cheshirewestandchester.gov.uk,Cheshire,no
Adlington Pc,https://adlington-pc.gov.uk/contact-us/,clerk@adlington-pc.gov.uk,Cheshire,no
Eltonparishcouncil Co Uk,https://www.eltonparishcouncil.co.uk/contact.html,parishclerk@eltonparishcouncil.co.uk,Cheshire,no
Marstonparishcouncil,https://www.marstonparishcouncil.gov.uk/contact-us/,info@marstonparishcouncil.co.uk,Cheshire,no
Willingtonparish,https://willingtonparish.gov.uk/contact/,clerk@willingtonparish.gov.uk,Cheshire,no
Haleparishcouncil,https://www.haleparishcouncil.gov.uk/contact,clerk@haleparishcouncil.gov.uk,Cheshire,no
Cheshireparishcouncils Co Uk,https://cheshireparishcouncils.co.uk/,alistaircampbell@ukcityimages.com,Cheshire,no
Cheddington Pc,https://www.cheddington-pc.gov.uk/our-community/newsletter/,chedd.newsletter@outlook.com,Cheshire,no
Charvilparishcouncil,https://charvilparishcouncil.gov.uk/cvn,clerk@charvilparishcouncil.gov.uk,Cheshire,no
Davenhamandbostockpc,https://www.davenhamandbostockpc.org.uk/parish-news/,info@hynethydrogenpipeline.co.uk,Cheshire,no
Daresburyparishcouncil,https://www.daresburyparishcouncil.gov.uk/news.html,daresburyvillage@live.co.uk,Cheshire,no
Kingsleyvillage Co Uk,https://www.kingsleyvillage.co.uk/index.php/component/content/,clerk@kingsleyvillage.co.uk,Cheshire,no
Lancashire,https://www.lancashire.gov.uk/parish-and-town-councils/list/,parishcouncils@lancashire.gov.uk,Lancashire,no
Lancaster,https://www.lancaster.gov.uk/parish-councils/,clerk@lancaster.gov.uk,Lancashire,no
Lan Opc,https://www.lan-opc.org.uk/,clerk@lan-opc.org.uk,Lancashire,no
Democracy Westlancs,https://democracy.westlancs.gov.uk/mgParishCouncilDetailsList.aspx,clerk@democracy.westlancs.gov.uk,Lancashire,no
Democracy Chorley,https://democracy.chorley.gov.uk/mgparishcouncildetailslist.aspx,clerk@democracy.chorley.gov.uk,Lancashire,no
Wrightington Pc,https://www.wrightington-pc.gov.uk/useful-contacts/,clerk@wrightington-pc.gov.uk,Lancashire,no
Committeeadmin Lancaster,https://committeeadmin.lancaster.gov.uk/mgParishCouncilDetailsList.aspx,clerk@committeeadmin.lancaster.gov.uk,Lancashire,no
Arnsidevillage Co Uk,https://www.arnsidevillage.co.uk/notice-tag/lancashire/,fay.sweet@lakelandsinfonia.org.uk,Lancashire,no
Prestonparishcouncil,https://prestonparishcouncil.gov.uk/village-newsletter/,newsletter@prestonpc.org.uk,Lancashire,no
Hutton Pc,https://www.hutton-pc.gov.uk/Parish_Newsletter_30425.aspx,clerk@hutton-pc.gov.uk,Lancashire,no
Newburghparishcouncil,https://newburghparishcouncil.gov.uk/news/,clerk@newburghparishcouncil.gov.uk,Lancashire,no
Whittlelewoods Pc,https://www.whittlelewoods-pc.gov.uk/newsletter.php,clerk@whittlelewoods-pc.gov.uk,Lancashire,no
Wiswellpc,https://www.wiswellpc.org.uk/latest-newsletters.php,clerk@wiswellpc.org.uk,Lancashire,no
